observed_at_utc,record_type,work,source,source_id_or_slug,source_url,edition_language,extension_version,chapter_label,site_or_api_observation,addon_raw_inventory_boundary_B,tsuzuki_snapshot_evidence_boundary_C,ui_observation_boundary_D,chapter_or_upload_id,scanlation_group,pages_metadata_only,external_url,verification,notes
2026-09-22,source_summary,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,all languages,,total=1918,HTTP 200 API total across all languages/release rows; not editorial chapter count,NOT_TESTED,NOT_TESTED,NOT_TESTED for this source; prior smoke UI was MangaFire,,,,,direct documented public metadata endpoint; HTTP 200,No reader/page endpoint called; aggregate upload rows are not canonical/readable chapters.
2026-09-22,source_summary,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,total=0,HTTP 200; 0 chapter records under translatedLanguage[]=en for this query snapshot,NOT_TESTED,NOT_TESTED,NOT_TESTED for this source; prior smoke UI was MangaFire,,,,,direct documented public metadata endpoint; HTTP 200,No reader/page endpoint called; aggregate upload rows are not canonical/readable chapters.
2026-09-22,source_summary,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,total=169,"HTTP 200; 169 upload records across pages offset=0 (100), 100 (69); asc chapter label",NOT_TESTED,NOT_TESTED,NOT_TESTED for this source; prior smoke UI was MangaFire,,,,,direct documented public metadata endpoint; HTTP 200,No reader/page endpoint called; aggregate upload rows are not canonical/readable chapters.
2026-09-22,source_summary,One-Punch Man,MangaFire website,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,,web research browser returned 0 textual lines; no chapter list/status available,NOT_TESTED,NOT_TESTED,previous smoke says list started at 138; details/edition/language unrecorded,,,,,"URL opened, no usable chapter inventory; no direct HTTP scraping or bypass",User reports availability through 234; not independently verified. Installed extension version unavailable.
2026-09-22,source_summary,One-Punch Man,MangaBall website,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,page filter default All; release locale not returned,unknown,,"text response: Ongoing, Published 2012 0 chapters; 0 Chapters with 0 Translations; updated 2d ago; takedown note mentions MangaDex fan translations",NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public page text retrieved; dynamic browser/session behavior not reproduced,No chapter pages opened. Site snapshot is not proof that a user session cannot show chapters.
2026-09-22,environment_blocker,One-Punch Man,Android/Mihon runtime,,,unknown,unknown,,not observed,NOT_TESTED,NOT_TESTED,prior human smoke only: visible list began at #138,,,,,adb devices -l exit 127: adb command not found,"No APK, device, installed Add-ons or runtime logs. Environmental failure is not proof of content unavailability."
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,1,filter returned total=0; no record,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,2,filter returned total=0; no record,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,137,filter returned total=0; no record,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,138,filter returned total=0; no record,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,139,filter returned total=0; no record,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,233,filter returned total=0; no record,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,en,,234,filter returned total=0; no record,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,1,API record returned; label=1,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,d7ed204c-e2d0-422d-afab-63309a846545,I Wish Scans,20,null,HTTP 200 metadata only,raw title Um Soco; internal record not page-open proof
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,2,API record returned; label=2,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,41eab5e1-8a6b-4af9-a589-d6c8b259e6b1,I Wish Scans,18,null,HTTP 200 metadata only,raw title Caranguejo e Desempregado; internal record not page-open proof
