observed_at_utc,work,edition_scope,provider,provider_id,endpoint_or_reference,field,raw_value,semantic_interpretation,http_or_page_status,provider_updated_at,confidence,notes
2026-09-22,One-Punch Man,provider record; edition semantics not specified,Kitsu,24147,https://kitsu.io/api/edge/manga/24147,chapterCount,null,Kitsu count field; scope undefined,HTTP 200,2026-09-22T18:00:28.019Z,high for raw value; low for editorial meaning,Direct GET 2026-09-22; status current/finished separately in report.
2026-09-22,One-Punch Man,provider record; edition semantics not specified,MangaBaka,725,https://api.mangabaka.org/v1/series/725,total_chapters,237,single numeric/string field; no edition/type/provenance,HTTP 200,2026-09-22T19:43:59.487Z,high for raw value; low for provenance/meaning,Direct GET 2026-09-22; IDs crosslink Kitsu/MU etc but do not prove field source.
2026-09-22,One-Punch Man,MU series record,MangaUpdates,30535847369,https://api.mangaupdates.com/v1/series/30535847369,latest_chapter,237,"latest chapter field, not count",HTTP 200,2026-09-22T04:14:18-07:00,high for raw value; medium/low for editorial semantic,"Description/status supplies context for FMA, CSM, Berserk; other values unresolved."
2026-09-22,One-Punch Man,MangaDex title record + upload aggregate,MangaDex,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://api.mangadex.org/manga/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,manga.lastChapter; aggregate maximum integer label,lastChapter=blank; aggregate max integer=311,"catalog lastChapter if populated; aggregate max is upload label, not editorial count",HTTP 200 detail + aggregate,2026-06-05T11:29:17+00:00,high for raw API; low for editorial meaning,Aggregate data may vary by uploads/language/group; no chapter inventory claimed.
2026-09-22,Berserk,provider record; edition semantics not specified,Kitsu,8,https://kitsu.io/api/edge/manga/8,chapterCount,null,Kitsu count field; scope undefined,HTTP 200,2026-09-22T18:00:28.019Z,high for raw value; low for editorial meaning,Direct GET 2026-09-22; status current/finished separately in report.
2026-09-22,Berserk,provider record; edition semantics not specified,MangaBaka,1692,https://api.mangabaka.org/v1/series/1692,total_chapters,401,single numeric/string field; no edition/type/provenance,HTTP 200,2026-09-20T07:34:40.964Z,high for raw value; low for provenance/meaning,Direct GET 2026-09-22; IDs crosslink Kitsu/MU etc but do not prove field source.
2026-09-22,Berserk,MU series record,MangaUpdates,51239621230,https://api.mangaupdates.com/v1/series/51239621230,latest_chapter,386,"latest chapter field, not count",HTTP 200,2026-08-28T01:21:23-07:00,high for raw value; medium/low for editorial semantic,"Description/status supplies context for FMA, CSM, Berserk; other values unresolved."
2026-09-22,Berserk,MangaDex title record + upload aggregate,MangaDex,801513ba-a712-498c-8f57-cae55b38cc92,https://api.mangadex.org/manga/801513ba-a712-498c-8f57-cae55b38cc92,manga.lastChapter; aggregate maximum integer label,lastChapter=blank; aggregate max integer=386,"catalog lastChapter if populated; aggregate max is upload label, not editorial count",HTTP 200 detail + aggregate,2026-09-03T17:00:25+00:00,high for raw API; low for editorial meaning,Aggregate data may vary by uploads/language/group; no chapter inventory claimed.
2026-09-22,Fullmetal Alchemist,provider record; edition semantics not specified,Kitsu,66,https://kitsu.io/api/edge/manga/66,chapterCount,116,Kitsu count field; scope undefined,HTTP 200,2026-09-22T18:00:28.019Z,high for raw value; low for editorial meaning,Direct GET 2026-09-22; status current/finished separately in report.
2026-09-22,Fullmetal Alchemist,provider record; edition semantics not specified,MangaBaka,8312,https://api.mangabaka.org/v1/series/8312,total_chapters,150,single numeric/string field; no edition/type/provenance,HTTP 200,2026-09-22T16:04:08.468Z,high for raw value; low for provenance/meaning,Direct GET 2026-09-22; IDs crosslink Kitsu/MU etc but do not prove field source.
